Rank,Name,Worldwide Box Office,Movies,Average
687,Rene Russo,$658.429.622,11,$59.857.238
688,Said Taghmaoui,$658.221.907,4,$164.555.477
689,Callum Turner,$657.452.177,5,$131.490.435
690,Steve Guttenberg,$657.343.950,20,$32.867.198
691,Jane Fonda,$655.952.192,20,$32.797.610
692,Ray Fisher,$655.945.209,1,$655.945.209
693,Gemma Arterton,$654.612.451,20,$32.730.623
694,Blake Lively,$654.020.281,14,$46.715.734
695,Eugenio Derbez,$651.469.516,9,$72.385.502
696,Claudia Kim,$651.280.475,1,$651.280.475
697,Ryan Potter,$649.748.189,2,$324.874.095
698,Scott Adsit,$649.657.407,1,$649.657.407
699,Tom Hulce,$645.370.859,6,$107.561.810
700,Jaimie Alexander,$645.064.640,4,$161.266.160
701,Taylor Swift,$644.032.432,3,$214.677.477
702,Lance Henriksen,$644.016.173,11,$58.546.925
703,Hank Azaria,$642.178.749,6,$107.029.792
704,Jon Bernthal,$641.481.236,7,$91.640.177
705,Ester Dean,$637.842.592,4,$159.460.648
706,Kevin Bacon,$636.789.691,19,$33.515.247
707,Auli'i Cravalho,$634.965.560,3,$211.655.187
708,Tori Kelly,$632.483.611,1,$632.483.611
709,Jacob Tremblay,$632.202.917,7,$90.314.702
710,Spencer Fox,$631.441.092,1,$631.441.092
711,David Koechner,$630.612.242,11,$57.328.386
712,Eddie Peng,$628.857.103,6,$104.809.517
713,Lindsay Lohan,$628.401.323,15,$41.893.422
714,Burt Reynolds,$628.269.668,16,$39.266.854
715,Jim Parsons,$627.769.562,7,$89.681.366
716,Ian Holm,$626.549.695,2,$313.274.848
717,Lou Romano,$626.549.695,1,$626.549.695
718,Jeremy Piven,$625.749.954,9,$69.527.773
719,Tom Sizemore,$624.200.716,21,$29.723.844
720,Zhang Yuqi,$622.052.091,2,$311.026.046
721,Rob Schneider,$619.509.820,13,$47.654.602
722,Suraj Sharma,$619.310.368,2,$309.655.184
723,Billy Connolly,$615.071.324,5,$123.014.265
724,Chris O'Dowd,$614.892.440,9,$68.321.382
725,Dafne Keen,$614.202.315,2,$307.101.158
726,Emily Mortimer,$612.818.251,14,$43.772.732
727,Matthew Lillard,$612.747.209,8,$76.593.401
728,Hugh Laurie,$612.170.128,6,$102.028.355
729,James Marsden,$610.857.656,19,$32.150.403
730,Tobin Bell,$609.645.110,9,$67.738.346
731,Olivia Wilde,$609.241.495,15,$40.616.100
732,Nicholas Hoult,$607.783.429,13,$46.752.571
733,Daveed Diggs,$607.579.482,3,$202.526.494
734,Paul Hogan,$607.202.827,4,$151.800.707
735,Christopher Knights,$599.680.774,1,$599.680.774
736,Li Bingbing,$599.242.565,3,$199.747.522
737,Ed Skrein,$598.430.648,5,$119.686.130
738,Kristin Scott Thomas,$596.994.115,16,$37.312.132
739,Jake Johnson,$594.586.008,9,$66.065.112
740,Ben Schwartz,$591.939.155,9,$65.771.017
741,Winston Chao,$591.407.011,2,$295.703.506
742,John Krasinski,$591.338.623,11,$53.758.057
743,Jay Chou,$589.712.710,6,$98.285.452
744,Malin Akerman,$589.370.120,12,$49.114.177
745,Alexis Knapp,$589.149.593,5,$117.829.919
746,Anna Camp,$589.023.850,6,$98.170.642
747,William Fichtner,$588.716.887,7,$84.102.412
748,Dennis Haysbert,$586.394.037,4,$146.598.509
749,Catherine O'Hara,$584.080.799,4,$146.020.200
750,Ashley Judd,$580.717.713,11,$52.792.519
751,Greg Kinnear,$580.158.643,19,$30.534.665
752,Jim Sturgess,$580.105.345,15,$38.673.690
753,Win Morisaki,$579.055.653,1,$579.055.653
754,Philip Zhao,$579.055.653,1,$579.055.653
755,Lena Headey,$578.698.436,12,$48.224.870
756,Alan Arkin,$578.493.573,13,$44.499.506
757,Ki Hong Lee,$576.444.698,2,$288.222.349
758,Cliff Curtis,$575.062.712,5,$115.012.542
759,Jane Lynch,$573.517.292,3,$191.172.431
760,Dane Cook,$572.806.061,8,$71.600.758
761,Cuba Gooding. Jr.,$571.965.914,19,$30.103.469
762,Freddie Prinze. Jr.,$571.492.594,8,$71.436.574
763,Sofia Vergara,$569.552.482,9,$63.283.609
764,Jean-Claude Van Damme,$566.376.315,31,$18.270.204
765,Bryan Cranston,$565.602.613,9,$62.844.735
766,Michael Ealy,$565.497.215,12,$47.124.768
767,Whitney Houston,$565.056.786,5,$113.011.357
768,Cheech Marin,$564.371.012,7,$80.624.430
769,Qianyuan Wang,$564.106.411,2,$282.053.206
770,Salman Khan,$561.735.529,14,$40.123.966
771,Jeremy Irvine,$560.577.069,6,$93.429.512
772,Elizabeth Perkins,$559.200.000,2,$279.600.000
773,Elsie Fisher,$557.812.593,3,$185.937.531
774,Kelly Macdonald,$557.356.830,5,$111.471.366
775,Alice Eve,$556.394.790,9,$61.821.643
776,Andy Lau,$556.217.092,10,$55.621.709
777,James Garner,$556.080.356,8,$69.510.045
778,Kevin McKidd,$554.606.532,1,$554.606.532
779,Chuck Norris,$552.663.615,20,$27.633.181
780,Emma Roberts,$552.436.009,18,$30.690.889
781,Paul Giamatti,$551.878.484,13,$42.452.191
782,Mary Elizabeth Winstead,$550.454.820,11,$50.041.347
783,Shawn Wayans,$549.512.911,4,$137.378.228
784,Ansel Elgort,$549.129.648,9,$61.014.405
785,Joey King,$548.201.331,11,$49.836.485
786,Ken Watanabe,$547.310.981,6,$91.218.497
787,Hugh Bonneville,$546.315.842,5,$109.263.168
788,Craig Robinson,$544.999.755,15,$36.333.317
789,Juliette Binoche,$544.265.094,25,$21.770.604
790,Miranda Cosgrove,$543.464.573,1,$543.464.573
791,Dana Gaier,$543.464.573,1,$543.464.573
792,Li Chen,$541.063.127,2,$270.531.564
793,François Cluzet,$539.662.524,3,$179.887.508
794,Rainn Wilson,$539.361.035,8,$67.420.129
795,Josh Peck,$539.355.654,6,$89.892.609
796,F. Murray Abraham,$538.584.442,6,$89.764.074
797,Wayne Knight,$534.799.042,2,$267.399.521
798,Ben Burtt,$532.508.025,1,$532.508.025
799,Christopher Reeve,$531.011.826,6,$88.501.971
800,Thandie Newton,$530.778.447,9,$58.975.383
801,Tony Shalhoub,$530.562.248,3,$176.854.083
802,Ruby Rose,$528.769.910,5,$105.753.982
803,Ray Stevenson,$527.716.898,5,$105.543.380
804,Dan Castellaneta,$527.071.022,1,$527.071.022
805,Tina Fey,$526.559.300,8,$65.819.913
806,Talitha Bateman,$526.226.880,3,$175.408.960
807,Lin Yun,$525.018.479,1,$525.018.479
808,Show Luo,$525.018.479,1,$525.018.479
809,Demián Bichir,$524.080.770,5,$104.816.154
810,Angelababy,$522.363.565,7,$74.623.366
811,Michael Sheen,$521.766.270,8,$65.220.784
812,Fionn Whitehead,$519.513.758,3,$173.171.253
813,Bobby Cannavale,$519.027.826,3,$173.009.275
814,J.B. Smoove,$518.057.990,6,$86.342.998
815,Christopher Plummer,$516.492.427,24,$21.520.518
816,Baihe Bai,$514.752.686,3,$171.584.229
817,Elodie Yung,$514.577.461,2,$257.288.731
818,Lizzy Caplan,$514.570.353,6,$85.761.726
819,Joe Manganiello,$510.213.965,9,$56.690.441
820,Tom Kenny,$510.063.669,5,$102.012.734
821,Carrie Anne Moss,$509.142.655,6,$84.857.109
822,Zheng Kai,$508.555.219,4,$127.138.805
823,Henry Golding,$508.552.783,6,$84.758.797
824,Emilio Estevez,$508.106.574,21,$24.195.551
825,Robert Shaw,$506.150.000,5,$101.230.000
826,Sanaa Lathan,$505.755.944,8,$63.219.493
827,Scott Weinger,$504.050.219,1,$504.050.219
828,Jonathan Freeman,$504.050.219,1,$504.050.219
829,Brad Kane,$504.050.219,1,$504.050.219
830,Linda Larkin,$504.050.219,1,$504.050.219
831,Lea Salonga,$504.050.219,1,$504.050.219
832,Jenifer Lewis,$503.605.946,2,$251.802.973
833,Andie MacDowell,$503.505.595,14,$35.964.685
834,Mia Wasikowska,$502.103.693,15,$33.473.580
835,Pedro Pascal,$500.576.099,3,$166.858.700
836,Jonathan Pryce,$498.996.782,10,$49.899.678
837,Joe Lo Truglio,$496.746.351,3,$165.582.117
838,Ed O'Neill,$496.511.521,1,$496.511.521
839,Jemaine Clement,$496.081.241,6,$82.680.207
840,Tony Goldwyn,$494.718.062,2,$247.359.031
841,Jean Reno,$494.029.064,12,$41.169.089
842,Adrianne Palicki,$493.538.638,4,$123.384.660
843,Daryl Sabara,$489.680.106,5,$97.936.021
844,Alexa Vega,$489.648.004,9,$54.405.334
845,Kellan Lutz,$488.928.439,10,$48.892.844
846,Kathleen Turner,$487.764.752,21,$23.226.893
847,will.i.am,$487.519.809,1,$487.519.809
848,RZA,$487.386.668,5,$97.477.334
849,Alan Ritchson,$486.553.845,5,$97.310.769
850,Noel Fisher,$485.004.754,1,$485.004.754
851,Pete Ploszek,$485.004.754,1,$485.004.754
852,Tohoru Masamune,$485.004.754,1,$485.004.754
853,Jeremy Howard,$485.004.754,1,$485.004.754
854,David Ogden Stiers,$484.696.501,4,$121.174.125
855,Chow Yun-Fat,$484.324.538,8,$60.540.567
856,John Heard,$482.765.380,25,$19.310.615
857,Peter Stormare,$482.560.779,10,$48.256.078
858,Lu Han,$480.461.449,2,$240.230.725
859,Wallace Chung,$480.021.927,4,$120.005.482
860,Mary Steenburgen,$478.600.072,8,$59.825.009
861,Randy Couture,$477.729.552,7,$68.247.079
862,John Rhys-Davies,$477.377.994,8,$59.672.249
863,Denholm Elliott,$476.451.954,2,$238.225.977
864,Jordon Fry,$475.825.484,1,$475.825.484
865,Philip Wiegratz,$475.825.484,1,$475.825.484
866,Julia Winter,$475.825.484,1,$475.825.484
867,Madonna,$475.137.003,5,$95.027.401
868,Liam Hemsworth,$474.628.968,9,$52.736.552
869,Alison Doody,$474.171.806,1,$474.171.806
870,Michael Byrne,$474.171.806,1,$474.171.806
871,Jiang Wu,$473.277.935,3,$157.759.312
872,John Corbett,$472.941.580,5,$94.588.316
873,Ou Hao,$472.643.830,1,$472.643.830
874,Du Chun,$472.643.830,1,$472.643.830
875,Amanda Peet,$471.391.643,7,$67.341.663
876,Robert Duvall,$471.013.341,18,$26.167.408
877,Helen Hunt,$470.302.474,9,$52.255.830
878,Sunny Sandler,$469.500.298,1,$469.500.298
879,Asher Blinkoff,$469.500.298,1,$469.500.298
880,Jonny Solomon,$469.500.298,1,$469.500.298
881,Sadie Sandler,$469.500.298,1,$469.500.298
882,Amy Smart,$467.266.229,13,$35.943.556
883,Nia Vardalos,$467.014.353,5,$93.402.871
884,Til Schweiger,$466.190.812,3,$155.396.937
885,Joe Pantoliano,$465.771.689,4,$116.442.922
886,Gabrielle Union,$463.013.746,15,$30.867.583
887,John Ratzenberger,$462.447.823,4,$115.611.956
888,Paul Dooley,$461.630.558,1,$461.630.558
889,George Carlin,$461.630.558,2,$230.815.279
890,Michael Wallis,$461.630.558,1,$461.630.558
891,Joe Ranft,$461.630.558,1,$461.630.558
892,Guido Quaroni,$461.630.558,1,$461.630.558
893,Richard Petty,$461.630.558,1,$461.630.558
894,Katherine Helmond,$461.630.558,1,$461.630.558
895,Carey Mulligan,$461.617.040,10,$46.161.704
896,Rupert Everett,$461.020.184,8,$57.627.523
897,Kumail Nanjiani,$460.650.607,7,$65.807.230
898,Lance Reddick,$459.292.364,4,$114.823.091
899,Anthony LaPaglia,$457.564.388,9,$50.840.488
900,Alden Ehrenreich,$457.315.441,4,$114.328.860
901,Koyuki Kato,$456.810.575,1,$456.810.575
902,Robby Benson,$456.656.843,3,$152.218.948
903,Skyler Gisondo,$456.569.202,7,$65.224.172
904,Kodi Smit-McPhee,$456.305.990,8,$57.038.249
905,John David Washington,$455.798.265,6,$75.966.378
906,Christopher Guest,$455.430.194,7,$65.061.456
907,DeForest Kelley,$454.800.000,4,$113.700.000
908,Leonard Nimoy,$454.800.000,4,$113.700.000
909,Courteney Cox,$453.668.049,7,$64.809.721
910,Ty Burrell,$453.264.567,4,$113.316.142
911,Rodrigo Santoro,$452.863.572,4,$113.215.893
912,Mary Elizabeth Mastrantonio,$451.804.574,3,$150.601.525
913,Tony Leung Chiu Wai,$450.817.734,5,$90.163.547
914,Lady Gaga,$450.143.532,3,$150.047.844
915,Jason Segel,$449.504.317,9,$49.944.924
916,Johnny Knoxville,$446.909.807,11,$40.628.164
917,Nick Kroll,$446.724.866,8,$55.840.608
918,Justice Smith,$444.309.007,4,$111.077.252
919,Lisa Jakob,$441.286.003,1,$441.286.003
920,Travis Fimmel,$441.113.064,5,$88.222.613
921,Sam Neill,$439.087.533,15,$29.272.502
922,Paige O'Hara,$438.656.843,1,$438.656.843
923,Joseph Fiennes,$438.517.535,6,$73.086.256
924,Piper Perabo,$437.997.003,7,$62.571.000
925,Miles Teller,$437.969.249,14,$31.283.518
926,Arnold Vosloo,$435.040.395,2,$217.520.198
927,Oded Fehr,$435.040.395,3,$145.013.465
928,Aaron Kwok,$434.034.042,6,$72.339.007
929,John Hurt,$433.397.773,11,$39.399.798
930,Nick Stahl,$433.172.569,10,$43.317.257
931,Shu Qi,$432.988.378,5,$86.597.676
932,Xuan Huang,$431.520.464,2,$215.760.232
933,Edgar Ramirez,$431.508.018,10,$43.150.802
934,David Harbour,$430.931.891,5,$86.186.378
935,Max von Sydow,$430.272.942,6,$71.712.157
936,Donald Sutherland,$429.740.353,22,$19.533.652
937,Aamir Khan,$426.865.340,4,$106.716.335
938,Ricky Gervais,$421.941.010,5,$84.388.202
939,Penelope Wilton,$420.042.313,5,$84.008.463
940,Ashley Tisdale,$419.380.936,5,$83.876.187
941,Amanda Bynes,$419.229.878,6,$69.871.646
942,Casey Affleck,$418.520.663,13,$32.193.897
943,Kelsey Grammer,$418.338.240,10,$41.833.824
944,Du Jiang,$417.850.370,1,$417.850.370
945,Li Qin,$417.850.370,1,$417.850.370
946,Simu Liu,$416.621.780,1,$416.621.780
947,Sally Hawkins,$416.106.282,5,$83.221.256
948,David Arquette,$414.186.361,13,$31.860.489
949,Leslie Odom Jr.,$414.184.050,6,$69.030.675
950,Tim Robbins,$413.941.388,18,$22.996.744
951,Warren Beatty,$413.586.451,8,$51.698.306
952,Christina Applegate,$413.562.761,6,$68.927.127
953,Molly Shannon,$412.995.246,9,$45.888.361
954,Rinko Kikuchi,$411.808.653,3,$137.269.551
955,Alex Pettyfer,$410.242.880,11,$37.294.807
956,Alain Chabat,$409.736.710,4,$102.434.178
957,Jason Schwartzman,$409.289.230,15,$27.285.949
958,Leslie Jones,$407.029.211,3,$135.676.404
959,Topher Grace,$406.797.489,8,$50.849.686
960,Kathy Bates,$406.753.788,10,$40.675.379
961,Hilary Duff,$406.103.865,9,$45.122.652
962,Shirley MacLaine,$405.657.512,12,$33.804.793
963,Clark Gable,$404.970.192,5,$80.994.038
964,Cee Lo Green,$402.889.457,2,$201.444.729
965,Keean Johnson,$402.764.837,4,$100.691.209
966,Jessica Ellen Cornish,$402.156.682,1,$402.156.682
967,Jesse Tyler Ferguson,$402.156.682,1,$402.156.682
968,Lana Condor,$401.900.040,5,$80.380.008
969,Bruce Boxleitner,$399.866.199,2,$199.933.100
970,James Frain,$399.866.199,1,$399.866.199
971,George MacKay,$399.837.826,7,$57.119.689
972,Hugh Skinner,$399.262.497,2,$199.631.249
973,Alexa Davies,$399.228.127,1,$399.228.127
974,Josh Dylan,$399.228.127,1,$399.228.127
975,Jessica Keenan Wynn,$399.228.127,1,$399.228.127
976,Brandon Routh,$399.007.458,7,$57.001.065
977,Philip Seymour Hoffman,$397.893.601,14,$28.420.972
978,Wendi McLendon-Covey,$397.507.209,7,$56.786.744
979,Neil Patrick Harris,$397.436.951,5,$79.487.390
980,Song Kang-ho,$397.094.323,4,$99.273.581
981,James Caan,$396.548.758,18,$22.030.487
982,Louis Koo,$394.866.064,10,$39.486.606
983,Shameik Moore,$394.710.247,4,$98.677.562
984,Phoebe Waller-Bridge,$393.151.347,1,$393.151.347
985,Seth Green,$391.291.867,9,$43.476.874
986,Cheney Chen,$391.002.658,2,$195.501.329
987,Constance Wu,$390.952.385,5,$78.190.477
988,Hector Elizondo,$390.675.195,4,$97.668.799
989,Vivien Leigh,$390.556.303,2,$195.278.152
990,Steven Strait,$390.339.821,5,$78.067.964
991,Ming-Na,$388.631.830,2,$194.315.915
992,Jim Broadbent,$387.565.132,11,$35.233.194
993,Olivia Newton-John,$387.483.897,1,$387.483.897
994,Matt Jones,$385.997.896,3,$128.665.965
995,Rob Lowe,$383.837.739,20,$19.191.887
996,Madhur Mittal,$383.825.427,1,$383.825.427
997,Cristela Alonzo,$383.541.369,1,$383.541.369
998,Millie Bobby Brown,$383.299.915,3,$127.766.638
999,Nick Frost,$383.278.633,8,$47.909.829
1.000,Josh Duhamel,$383.244.957,18,$21.291.387
